Year,Month,Region,Province/HUC/ICC,Cases
2017,6,11,DAVAO CITY,173
2017,6,11,DAVAO DE ORO,38
2017,6,11,DAVAO DEL NORTE,19
2017,6,11,DAVAO DEL SUR,17
2017,6,11,DAVAO OCCIDENTAL,3
2017,6,11,DAVAO ORIENTAL,22
2017,6,12,COTABATO (NORTH COTABATO),228
2017,6,12,GENERAL SANTOS CITY (DADIANGAS),110
2017,6,12,SARANGANI,98
2017,6,12,SOUTH COTABATO,278
2017,6,12,SULTAN KUDARAT,79
2017,6,4A,BATANGAS,334
2017,6,4A,CAVITE,240
2017,6,4A,LAGUNA,311
2017,6,4A,LUCENA CITY,11
2017,6,4A,QUEZON,81
2017,6,4A,RIZAL,193
2017,6,4B,MARINDUQUE,1
2017,6,4B,OCCIDENTAL MINDORO,96
2017,6,4B,ORIENTAL MINDORO,85
2017,6,4B,PALAWAN,46
2017,6,4B,PUERTO PRINCESA CITY,16
2017,6,4B,ROMBLON,28
2017,6,BARMM,BASILAN,50
2017,6,BARMM,COTABATO CITY,21
2017,6,BARMM,LANAO DEL SUR,1
2017,6,BARMM,SULU,6
2017,6,BARMM,TAWI-TAWI,10
2017,6,CAR,ABRA,15
2017,6,CAR,APAYAO,5
2017,6,CAR,BAGUIO CITY,55
2017,6,CAR,BENGUET,34
2017,6,CAR,IFUGAO,45
2017,6,CAR,KALINGA,23
2017,6,CAR,MOUNTAIN PROVINCE,5
2017,6,CARAGA,AGUSAN DEL NORTE,20
2017,6,CARAGA,AGUSAN DEL SUR,28
2017,6,CARAGA,BUTUAN CITY,16
2017,6,CARAGA,DINAGAT ISLANDS,2
2017,6,CARAGA,SURIGAO DEL NORTE,42
2017,6,CARAGA,SURIGAO DEL SUR,69
2017,6,NCR,CALOOCAN CITY,224
2017,6,NCR,CITY OF LAS PIÑAS,29
